"question","answer","intent"
"Where is my order?","You can check your order status using your order ID.","order_status"
"How can I track my order?","Please provide your order ID to track your order.","order_status"
"Where is my package?","Please provide your order ID to check the current status.","order_status"
"Can you tell me where my order is?","You can track your order using your order ID.","order_status"
"What is the status of my order?","Please provide your order ID to check the latest status.","order_status"
"How do I know where my order is?","You can check your order status using your order ID.","order_status"
"Can I track my package?","Please provide your order ID to track your package.","order_status"
"Can you track my order?","Please provide your order ID so we can check the current status.","order_status"
"Has my order been shipped?","You can check your order status using your order ID.","order_status"
"I want to know my order status","Please provide your order ID to check the latest status.","order_status"
"Check my order status","You can check your order status using your order ID.","order_status"
"Can I see where my package is?","Please provide your order ID to check your package status.","order_status"
"Is my order on the way?","You can check the current order status using your order ID.","order_status"
"How can I see my package status?","Please provide your order ID to track your package.","order_status"
"Track my order for me","Please provide your order ID to check the current order status.","order_status"

"When will my order arrive?","Your delivery date can be checked using your order ID.","delivery"
"How long does delivery take?","Standard delivery usually takes 3 to 5 business days.","delivery"
"When will my package be delivered?","Your expected delivery date is available using your order ID.","delivery"
"How many days will delivery take?","Standard delivery usually takes 3 to 5 business days.","delivery"
"When can I expect my package?","Please check your order details for the expected delivery date.","delivery"
"What is the estimated delivery time?","Standard delivery usually takes 3 to 5 business days.","delivery"
"When should I expect my order?","You can check the expected delivery date using your order ID.","delivery"
"How many days does shipping take?","Standard delivery usually takes 3 to 5 business days.","delivery"
"What is the delivery time?","Standard delivery usually takes 3 to 5 business days.","delivery"
"When is my package expected to arrive?","Your expected delivery date is available using your order details.","delivery"
"How soon will my order arrive?","Standard delivery usually takes 3 to 5 business days.","delivery"
"Tell me the delivery duration","Standard delivery usually takes 3 to 5 business days.","delivery"
"When can I expect delivery?","Please check your order details for the expected delivery date.","delivery"
"What day will my package arrive?","You can check the expected delivery date using your order ID.","delivery"
"How long will it take for my order to arrive?","Standard delivery usually takes 3 to 5 business days.","delivery"

"Can I cancel my order?","Yes, you can cancel your order before it is shipped.","cancellation"
"I want to cancel my order","Please provide your order ID so we can check whether cancellation is possible.","cancellation"
"Please cancel my order","We can check whether your order is eligible for cancellation.","cancellation"
"How do I cancel an order?","Please provide your order ID to request cancellation.","cancellation"
"I don't want my order anymore","We can check whether the order can still be cancelled.","cancellation"
"Can you cancel my order?","Please provide your order ID so we can check cancellation eligibility.","cancellation"
"I want to stop my order","We can check whether your order is still eligible for cancellation.","cancellation"
"Is it possible to cancel my order?","Yes, cancellation may be possible before the order is shipped.","cancellation"
"How can I cancel my purchase?","Please provide your order ID to request cancellation.","cancellation"
"I changed my mind about my order","We can check whether the order can still be cancelled.","cancellation"
"Can I stop my package from being shipped?","Please provide your order ID so we can check cancellation eligibility.","cancellation"
"I no longer need my order","We can check whether your order is eligible for cancellation.","cancellation"
"Cancel my purchase","Please provide your order ID to request cancellation.","cancellation"
"I want to remove my order","Please provide your order ID so we can check whether cancellation is possible.","cancellation"
"Can my order be cancelled?","We can check whether your order is eligible for cancellation.","cancellation"

"How can I get a refund?","Refunds can be requested for eligible orders through our support team.","refund"
"I need my money back","Please provide your order ID so we can check your refund eligibility.","refund"
"I want a refund","Please provide your order ID to start the refund process.","refund"
"Can I get my money back?","Eligible orders may qualify for a refund.","refund"
"How do I request a refund?","You can request a refund for an eligible order through support.","refund"
"Can I request a refund?","Please provide your order ID so we can check your refund eligibility.","refund"
"I want to get my payment back","Please provide your order ID to start the refund process.","refund"
"How can I get my money returned?","Refunds can be requested for eligible orders through our support team.","refund"
"I need a refund for my order","Please provide your order ID so we can check refund eligibility.","refund"
"Can you give me a refund?","Eligible orders may qualify for a refund.","refund"
"I want to return my money","Please provide your order ID to start the refund process.","refund"
"How do I get my money back?","You can request a refund for an eligible order through support.","refund"
"Is my order eligible for a refund?","Please provide your order ID so we can check your refund eligibility.","refund"
"I want to request my refund","Please provide your order ID to start the refund process.","refund"
"Where can I request a refund?","You can request a refund for an eligible order through support.","refund"




"My payment failed","Please check your payment details and try again. If the problem continues, contact support.","payment"
"My payment was declined","Please verify your payment details and try again.","payment"
"I was charged twice","Please provide your order ID so we can investigate the duplicate payment.","payment"
"Why did my payment fail?","Please verify your payment method and try again.","payment"
"I have a payment problem","Please provide details about the payment issue so we can assist you.","payment"
"My transaction failed","Please check your payment details and try again.","payment"
"My card payment was declined","Please verify your card details and try again.","payment"
"I cannot complete my payment","Please check your payment details and try again.","payment"
"Why was my payment rejected?","Please verify your payment method and try again.","payment"
"My payment is not going through","Please check your payment details and try again.","payment"
"I was charged two times","Please provide your order ID so we can investigate the duplicate payment.","payment"
"My card was charged twice","Please provide your order ID so we can investigate the duplicate payment.","payment"
"There is an issue with my payment","Please provide details about the payment issue so we can assist you.","payment"
"My online payment failed","Please verify your payment details and try again.","payment"
"Why can't I make a payment?","Please check your payment method and try again.","payment"
"My card transaction was unsuccessful","Please verify your card details and try again.","payment"
"My payment was rejected","Please verify your payment method and try again.","payment"
"I cannot complete the transaction","Please check your payment details and try again.","payment"
"My card payment is not working","Please verify your card details and try again.","payment"
"Why did my card payment fail","Please check your payment method and try again.","payment"
"The payment did not go through","Please verify your payment details and try again.","payment"
"My transaction was declined","Please verify your payment method and try again.","payment"
"I am unable to pay for my order","Please check your payment details and try again.","payment"
"My debit card payment failed","Please verify your card details and try again.","payment"
"My credit card was declined","Please verify your card details and try again.","payment"
"I have an issue while making a payment","Please check your payment details and try again.","payment"
"The transaction is not going through","Please verify your payment method and try again.","payment"
"Why can't I complete my payment","Please check your payment details and try again.","payment"
"My online transaction failed","Please verify your payment details and try again.","payment"
"Payment is not working","Please check your payment method and try again.","payment"

"I forgot my password","You can reset your password using the Forgot Password option.","account"
"I cannot login","Please verify your email and password. You can also reset your password if needed.","account"
"I can't access my account","Please verify your login details or reset your password.","account"
"How do I reset my password?","Use the Forgot Password option to reset your password.","account"
"My account is not working","Please verify your account credentials and contact support if the problem continues.","account"
"I forgot my login password","You can reset your password using the Forgot Password option.","account"
"I am unable to log in","Please verify your email and password or reset your password.","account"
